Date,Open,High,Low,Close,Adj Close,Volume
2010-01-18,83.746902,84.333000,80.680000,81.290001,81.290001,0
2010-01-25,81.325111,82.180199,78.860001,79.919998,79.919998,0
2010-02-01,79.946098,81.125999,76.169998,77.237396,77.237396,0
2010-02-08,77.220001,80.413399,76.814301,79.940002,79.940002,0
2010-02-15,79.940002,82.564003,79.720001,82.470001,82.470001,0
2010-02-22,82.513611,82.766998,78.177902,79.870003,79.870003,0
2010-03-01,79.820000,82.325996,79.180000,82.316399,82.316399,0
2010-03-08,82.444397,83.550003,81.220001,83.196411,83.196411,0
2010-03-15,83.222900,83.648697,82.250000,82.676598,82.676598,0
2010-03-22,82.634201,84.625999,81.720001,83.514999,83.514999,0
2010-03-29,83.514801,87.157799,83.449997,86.980003,86.980003,0
2010-04-05,87.011299,87.703003,85.699997,87.255798,87.255798,0
2010-04-12,87.242500,87.523003,84.550003,84.684998,84.684998,0
2010-04-19,84.691002,87.189003,83.949997,87.144402,87.144402,0
2010-04-26,87.150002,88.050003,84.980003,86.892998,86.892998,0
2010-05-03,86.880997,87.945000,76.940002,82.330002,82.330002,0
2010-05-10,82.410004,84.833000,81.400002,81.779198,81.779198,0
2010-05-17,81.739998,81.772003,71.898003,74.660004,74.660004,0
2010-05-24,74.629997,78.012001,72.095001,76.725998,76.725998,0
2010-05-31,76.709999,78.970001,74.669998,74.739998,74.739998,0
2010-06-07,74.781998,78.379997,73.629997,78.220001,78.220001,0
2010-06-14,78.275002,79.781502,77.489998,79.489998,79.489998,0
2010-06-21,79.489998,80.839111,76.949997,77.955002,77.955002,0
2010-06-28,77.919998,78.402000,72.639999,73.855003,73.855003,0
2010-07-05,73.825699,77.923111,72.714996,77.720001,77.720001,0
2010-07-12,77.703400,78.839996,74.830002,74.870003,74.870003,0
2010-07-19,74.859001,78.733002,74.639999,78.271004,78.271004,0
2010-07-26,78.279999,79.379997,77.349998,78.180000,78.180000,0
2010-08-02,78.181999,79.250000,77.639999,78.529999,78.529999,0
2010-08-09,78.320000,78.791000,75.800003,77.209999,77.209999,0
2010-08-16,77.029999,77.665001,75.470001,76.019997,76.019997,0
2010-08-23,75.970001,76.512497,73.644600,74.570000,74.570000,0
2010-08-30,77.194000,78.016998,74.650002,76.629997,76.629997,0
2010-09-06,77.220001,78.074997,75.938004,77.459999,77.459999,0
2010-09-13,78.319000,81.280998,77.400002,80.330002,80.330002,0
2010-09-20,80.321701,81.385002,79.800003,80.250298,80.250298,0
2010-09-27,80.981697,81.334000,80.446098,80.597000,80.597000,0
2010-10-04,80.945396,81.800003,79.800003,80.904999,80.904999,0
2010-10-11,80.942001,81.300003,79.972000,80.910004,80.910004,0
2010-10-18,80.459999,80.779999,78.680000,79.563004,79.563004,0
2010-10-25,79.910004,80.541000,78.172897,79.431602,79.431602,0
2010-11-01,79.360001,82.634003,79.239998,81.980003,81.980003,0
2010-11-08,82.489998,82.724998,80.373100,82.112999,82.112999,0
2010-11-15,81.547203,82.790001,81.110001,82.735001,82.735001,0
2010-11-22,82.629997,82.990601,80.540001,81.720299,81.720299,0
2010-11-29,81.300003,82.236397,79.757004,81.769997,81.769997,0
2010-12-06,82.065102,82.809998,81.402397,82.497002,82.497002,0
2010-12-13,82.620003,83.568001,82.559998,83.099998,83.099998,0
2010-12-20,82.995399,83.551201,82.709999,83.322502,83.322502,0
2010-12-27,82.889999,83.309998,82.589996,82.769997,82.769997,0
2011-01-03,82.855400,83.339996,81.940002,82.695000,82.695000,0
2011-01-10,82.639999,82.929611,81.529999,82.574799,82.574799,0
2011-01-17,82.113998,82.769997,81.500000,81.737000,81.737000,0
2011-01-24,81.709511,82.420998,81.540001,82.025002,82.025002,0
2011-01-31,81.010002,83.311996,81.010002,82.809998,82.809998,0
2011-02-07,83.241997,83.699997,82.879997,83.419998,83.419998,0
2011-02-14,83.540001,84.440002,83.400002,84.260002,84.260002,0
2011-02-21,84.293999,84.293999,81.889999,82.896004,82.896004,0
2011-02-28,82.750999,83.941002,82.580002,83.403999,83.403999,0
2011-03-07,83.509811,83.715401,81.955803,83.029999,83.029999,0
2011-03-14,82.040001,83.110001,76.730003,78.254799,78.254799,0
2011-03-21,80.830002,83.470001,80.510002,82.630997,82.630997,0
2011-03-28,83.396004,87.554001,83.379997,86.127998,86.127998,0
2011-04-04,87.494904,89.903999,86.692001,88.839996,88.839996,0
2011-04-11,89.824799,90.015999,86.866997,87.919998,87.919998,0
2011-04-18,87.779999,88.550003,85.995399,87.994400,87.994400,0
2011-04-25,88.070000,89.589996,87.180000,89.161697,89.161697,0
2011-05-02,88.998596,89.337303,84.739998,85.279999,85.279999,0
2011-05-09,86.496696,88.070000,85.250000,86.360001,86.360001,0
2011-05-16,85.269997,87.489998,84.889999,87.169998,87.169998,0
2011-05-23,86.831497,86.936996,85.430000,86.319000,86.319000,0
2011-05-30,86.519997,87.584999,84.949997,86.360001,86.360001,0
2011-06-06,86.227997,86.400002,84.410004,85.302002,85.302002,0
2011-06-13,84.620003,86.343002,84.519997,85.070000,85.070000,0
2011-06-20,84.870003,85.260002,84.081001,84.730003,84.730003,0
2011-06-27,84.294998,86.959999,84.040001,86.320000,86.320000,0
2011-07-04,87.180000,87.708000,86.250000,87.484001,87.484001,0
2011-07-11,86.430000,86.617996,83.379997,84.907997,84.907997,0
2011-07-18,84.206001,85.333000,83.529999,85.155998,85.155998,0
2011-07-25,84.980003,86.133003,84.220001,85.489998,85.489998,0
2011-08-01,85.040001,86.141998,81.435997,82.681999,82.681999,0
2011-08-08,81.267998,81.730003,76.540001,79.441902,79.441902,0
2011-08-15,79.758400,81.134903,78.873596,79.523003,79.523003,0
2011-08-22,79.704102,81.250000,79.529999,80.820000,80.820000,0
2011-08-29,81.099998,82.779999,81.070000,82.389999,82.389999,0
